run_id,GLOBAL_INFO,environment_parameters._punishBetterOtherGoalAgent,environment_parameters.rewDeltaGoalContinueGoalBetterOtherAgent,environment_parameters._punishBetterOtherAgentLocal,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c,Max Steps,NearestCarDistAvg,Num Episodes,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,h,p
g39,1,0,-0.2,1,0.07207829,5848,81134,0.421819181,3070,7278,0.604624571,4759,7871,0.979882237,1997,2038,0.022118726,1572,71071,0.205074399,1075,5242,12356,90569,12918,0.170080388,1.246682634,0.17781632,0.197792493,0.802219654,0.743072982,0.98215151,227,90,0,121,13,29,72390,7.865469901,0.003124656,16000000,12.39542833,72648,0.94411831,43.07744749,0.89838364,0.000399185,0.996448629
g40,1,1,-0.025,0,0.023506636,7079,301149,0.57210005,6816,11914,0.032726844,4995,152627,0.840565857,4397,5231,0.015078642,2715,180056,0.362058648,2420,6684,17500,164475,7367,0.112701091,1.059229253,0.047443939,0.075165408,0.924834594,0.68905385,0.993627166,458,40,2,284,134,0,154820,14.93831938,0.002949549,16000000,12.05570937,155278,0.885555318,19.61188437,0.972195133,0,0.997050451
g41,1,0,-0.025,0,0.172299465,6444,37400,0.932402318,6276,6731,0.590706871,3585,6069,0.997909408,2864,2870,0.074991774,2279,30390,0.883738995,3413,3862,5793,151918,6668,0.037208555,0.975772368,0.042828698,0.23408974,0.765910266,0.89415917,0.995730776,486,70,2,312,101,0,155204,15.03348286,0.003121588,16000000,12.01173313,155690,0.901336559,19.55650921,0.960115384,0,0.996878412
g42,1,1,-0.025,1,0.020095154,8156,405869,0.108817554,8034,73830,0.046157706,8095,175377,0.897139652,7998,8915,0.010757711,2510,233321,0.00258128,168,65084,14211,106754,8533,0.166055153,1.247417621,0.099707876,0.039633053,0.960366947,0.707112222,0.9939304,269,38,1,201,29,0,85306,7.838146862,0.003143258,16000000,11.93317339,85580,0.61667925,36.40756789,0.943343124,0,0.996798317
g43,1,1,-0.15,1,0.02367525,7502,316871,0.223566294,7060,31579,0.047258787,7421,157029,0.906515581,7040,7766,0.013382847,2447,182846,0.001636387,39,23833,18883,171896,8151,0.12195563,1.110188265,0.052643136,0.071370484,0.928629516,0.714589622,0.994453432,658,116,5,447,91,0,154177,14.89588163,0.004249685,16000000,12.03457643,154835,0.981899153,19.67263356,0.967979988,0,0.995750315
g44,1,0,-0.05,0,0.159652698,3604,22574,0.91754431,3572,3893,0.466399434,1978,4241,0.998769231,1623,1625,0.068639656,1213,17672,0.859347443,1949,2268,2494,81892,3658,0.029472938,0.967761758,0.043228551,0.271369496,0.728630506,0.943159325,0.998289268,178,28,0,135,13,0,84440,7.857638788,0.002103522,16000000,11.97003228,84620,0.758456815,36.82659419,0.913250149,0,0.997872843
g45,1,0,0,1,5.91E-05,30,507244,0.000108889,23,211224,4.17E-05,12,288025,8.86E-05,12,135420,3.66E-05,9,246208,1.54E-04,12,77679,27971,193556,123,0.181618077,1.256775534,0.000798649,0.019064912,0.980935089,0.767008939,0.985894559,703,118,6,445,135,0,153306,14.68342004,0.004564639,16000000,11.9851626,154010,0.960637785,19.78296531,0.970763997,0,0.995428868
g46,1,1,-0.075,0,0.026616301,7934,298088,0.815803639,7578,9289,0.033406669,5026,150449,0.908798283,4235,4660,0.015609147,2800,179382,0.722306197,3345,4631,18558,166778,8346,0.11827539,1.062923425,0.053191422,0.068690203,0.931309796,0.649070954,0.994711377,519,74,5,312,128,0,156386,15.15557945,0.003307734,16000000,12.05463713,156905,0.894719481,19.3990142,0.971611252,0,0.996692266
g47,1,1,-0.125,1,0.020835528,8899,427107,0.099802079,8774,87914,0.049189519,8861,180140,0.887694025,8750,9857,0.011379037,2796,245715,0.001764796,138,78196,26820,112813,11105,0.361743165,1.521600734,0.149782172,0.04835602,0.951646116,0.556780046,0.972429338,253,118,4,125,7,5,73882,7.873071862,0.003412417,16000000,12.33663253,74141,0.916395098,42.18368684,0.92043515,6.74E-05,0.996506656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: GLOBAL_INFO = 0 if no the agents have no global information, = 1 if the agents have global information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLOBAL_INFO = 0 ==> environment_parameters._obsParkingSpotClosestAgent = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLOBAL_INFO = 1 ==> environment_parameters._obsParkingSpotClosestAgent = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
